,Isolate,RIFAMPICIN,ISONIAZID,PYRAZINAMIDE,ETHAMBUTOL,STREPTOMYCIN,LEVOFLOXACIN,CAPREOMYCIN,AMIKACIN,MOXIFLOXACIN,OFLOXACIN,KANAMYCIN,ETHIONAMIDE,CIPROFLOXACIN
ERR2510878,site.06.subj.06TB_0115.lab.06MIL1028.iso.1,0.02139541506767273,0.02807563543319702,0.31968003511428833,0.16324582695960999,0.008417189121246338,0.9977561235427856,0.9067592620849609,0.7876556515693665,0.5958359837532043,0.9417327642440796,0.6727913022041321,0.5277623534202576,0.9993098974227905
ERR2510875,site.06.subj.06TB_0434.lab.06MIL1025.iso.1,0.013103723526000977,0.018576830625534058,0.31954073905944824,0.047271013259887695,0.24436646699905396,0.8712863922119141,0.0375860333442688,0.007411777973175049,0.4327039122581482,0.7324309349060059,0.030169755220413208,0.6294686198234558,0.6259811520576477
ERR2510870,site.06.subj.SSM_0098-14.lab.06MIL0016.iso.1,0.008291870355606079,0.00948113203048706,0.05618959665298462,0.051163434982299805,0.0655333399772644,0.22139278054237366,0.8285545706748962,0.7703086137771606,0.07392576336860657,0.034845829010009766,0.5843132138252258,0.24936965107917786,0.19090601801872253
ERR2510869,site.06.subj.06TB_0428.lab.06MIL1019.iso.1,0.020790785551071167,0.027392715215682983,0.2514595687389374,0.09693920612335205,0.02389499545097351,0.9358792304992676,0.3702636957168579,0.3763996958732605,0.3473852872848511,0.6090527176856995,0.09694534540176392,0.2566049098968506,0.9380796551704407
ERR2510860,site.06.subj.PIMS_0043-14.lab.06MIL0244.iso.1,0.03090667724609375,0.3030890226364136,0.7944355010986328,0.6438616514205933,0.5601893067359924,0.699100911617279,0.933467447757721,0.5041401982307434,0.6354010701179504,0.4599381983280182,0.8574655055999756,0.8128452897071838,0.9666081070899963
ERR2510854,site.06.subj.06TB_0413.lab.06MIL1004.iso.1,0.015043020248413086,0.02321043610572815,0.4698863923549652,0.4870130121707916,0.0033594071865081787,0.9956139326095581,0.7773396968841553,0.5877842903137207,0.5808778405189514,0.8725954294204712,0.7273621559143066,0.34080564975738525,0.9959770441055298
ERR2510842,site.06.subj.06TB_0401.lab.06MIL0992.iso.1,0.010018706321716309,0.010070651769638062,0.3652776777744293,0.3287150263786316,0.2593214511871338,0.9397336840629578,0.7836158275604248,0.42328304052352905,0.6457570791244507,0.7578659057617188,0.7775049209594727,0.7366303205490112,0.9566032886505127
ERR2510841,site.06.subj.06TB_0390.lab.06MIL0986.iso.1,0.01810869574546814,0.028360366821289062,0.36732327938079834,0.34024757146835327,0.016397684812545776,0.18988734483718872,0.7470651268959045,0.6240050792694092,0.06290304660797119,0.010064631700515747,0.4034404754638672,0.4835435748100281,0.13314762711524963
ERR2510840,site.06.subj.06TB_0399.lab.06MIL0990.iso.1,0.032782137393951416,0.031641244888305664,0.1396564543247223,0.088735431432724,0.011795759201049805,0.28768390417099,0.04837396740913391,0.010841399431228638,0.05335056781768799,0.05417940020561218,0.002729356288909912,0.18400633335113525,0.03530627489089966
ERR2510734,site.06.subj.06TB_0293.lab.06MIL0884.iso.1,0.013103723526000977,0.018576830625534058,0.31954073905944824,0.047271013259887695,0.24436646699905396,0.8712863922119141,0.0375860333442688,0.007411777973175049,0.4327039122581482,0.7324309349060059,0.030169755220413208,0.6294686198234558,0.6259811520576477
ERR2510732,site.06.subj.06TB_0291.lab.06MIL0882.iso.1,0.13857373595237732,0.05698844790458679,0.8706111907958984,0.9250349998474121,0.5885487794876099,0.6450061798095703,0.5026071667671204,0.19924700260162354,0.7478803992271423,0.3733330965042114,0.7094587087631226,0.3971572518348694,0.9392033815383911
ERR2510731,site.06.subj.06TB_0290.lab.06MIL0881.iso.1,0.01928865909576416,0.011417955160140991,0.27176809310913086,0.1774282455444336,0.015215814113616943,0.9897032976150513,0.8236491680145264,0.46303585171699524,0.6238822937011719,0.8322323560714722,0.6595388054847717,0.6281564235687256,0.9843389987945557
ERR2510727,site.06.subj.06TB_0286.lab.06MIL0877.iso.1,0.01575690507888794,0.0248928964138031,0.41625890135765076,0.4903043210506439,0.017744004726409912,0.7307016849517822,0.8458957672119141,0.3711188733577728,0.21154433488845825,0.08600768446922302,0.48105335235595703,0.7592639923095703,0.5287444591522217
ERR2510715,site.06.subj.06TB_0274.lab.06MIL0865.iso.1,0.0072467029094696045,0.007094144821166992,0.23153164982795715,0.15141400694847107,0.02311486005783081,0.9934074878692627,0.915813684463501,0.7713080644607544,0.7424167394638062,0.7887908220291138,0.7817142009735107,0.6350285410881042,0.9972786903381348
ERR2510713,site.06.subj.06TB_0272.lab.06MIL0863.iso.1,0.02084892988204956,0.043688565492630005,0.1888236105442047,0.11787354946136475,0.004654675722122192,0.5677210092544556,0.571790337562561,0.8377317786216736,0.04638203978538513,0.07130992412567139,0.47521254420280457,0.10224521160125732,0.7145498991012573
ERR2510711,site.06.subj.06TB_0007.lab.06MIL0861.iso.1,0.8325396776199341,0.39947736263275146,0.9405419826507568,0.8839136362075806,0.42623740434646606,0.00035130977630615234,0.27356791496276855,0.1563664674758911,0.018191158771514893,0.0011438429355621338,0.4532344341278076,0.817246675491333,0.0004323422908782959
ERR2510706,site.06.subj.06TB_0265.lab.06MIL0856.iso.1,0.009158998727798462,0.005527585744857788,0.1724833846092224,0.2755170464515686,0.2101721465587616,0.8961496353149414,0.6140104532241821,0.5833399891853333,0.4915435314178467,0.7433838248252869,0.7508015632629395,0.3902318477630615,0.894862949848175
ERR2510705,site.06.subj.06TB_0264.lab.06MIL0855.iso.1,0.013536959886550903,0.013706505298614502,0.1243390440940857,0.12192893028259277,0.372295618057251,0.011467456817626953,0.6701562404632568,0.5357429385185242,0.037123680114746094,0.010626941919326782,0.5604064464569092,0.5689207911491394,0.004960954189300537
ERR2510701,site.06.subj.06TB_0260.lab.06MIL0851.iso.1,0.00505596399307251,0.0031633079051971436,0.6423595547676086,0.5627855658531189,0.005666553974151611,0.9907934665679932,0.9914640188217163,0.16151899099349976,0.6527353525161743,0.5484721064567566,0.7202165126800537,0.9670363664627075,0.9656329154968262
ERR2510700,site.06.subj.SGD_0046-14.lab.06MIL0850.iso.1,0.02596983313560486,0.024894386529922485,0.08705517649650574,0.3026823401451111,0.5898081660270691,0.000718533992767334,0.2942476272583008,0.09771728515625,0.03403189778327942,0.0011715888977050781,0.2870483994483948,0.17026597261428833,0.00014784932136535645
ERR2510697,site.06.subj.MHL_0151-14.lab.06MIL0847.iso.1,0.00678563117980957,0.002568155527114868,0.7921751141548157,0.8875691890716553,0.1447201669216156,0.9520230889320374,0.9943844079971313,0.19157257676124573,0.869495153427124,0.6757062673568726,0.8281551599502563,0.9782345294952393,0.9665216207504272
ERR2510655,site.06.subj.06TB_0005.lab.06MIL0466.iso.1,0.009053170680999756,0.009290933609008789,0.29137688875198364,0.23749762773513794,0.029563695192337036,0.9946156144142151,0.9244970083236694,0.5635768175125122,0.7707101106643677,0.840045690536499,0.80488121509552,0.8255966901779175,0.9955867528915405
