,Isolate,AMIKACIN
0,site.06.subj.06TB_0115.lab.06MIL1028.iso.1,0.7783664464950562
1,site.06.subj.06TB_0434.lab.06MIL1025.iso.1,0.01710718870162964
2,site.06.subj.SSM_0098-14.lab.06MIL0016.iso.1,0.7786972522735596
3,site.06.subj.06TB_0428.lab.06MIL1019.iso.1,0.40887731313705444
4,site.06.subj.PIMS_0043-14.lab.06MIL0244.iso.1,0.7783664464950562
5,site.06.subj.06TB_0413.lab.06MIL1004.iso.1,0.7955489158630371
6,site.06.subj.06TB_0390.lab.06MIL0986.iso.1,0.7783664464950562
7,site.06.subj.06TB_0399.lab.06MIL0990.iso.1,0.01710718870162964
8,site.06.subj.06TB_0293.lab.06MIL0884.iso.1,0.01710718870162964
9,site.06.subj.06TB_0291.lab.06MIL0882.iso.1,0.7785370349884033
10,site.06.subj.06TB_0290.lab.06MIL0881.iso.1,0.7783664464950562
11,site.06.subj.06TB_0286.lab.06MIL0877.iso.1,0.7783664464950562
12,site.06.subj.06TB_0272.lab.06MIL0863.iso.1,0.7783664464950562
13,site.06.subj.06TB_0007.lab.06MIL0861.iso.1,0.7799814939498901
14,site.06.subj.06TB_0265.lab.06MIL0856.iso.1,0.8104377388954163
15,site.06.subj.06TB_0264.lab.06MIL0855.iso.1,0.7759785652160645
16,site.06.subj.06TB_0260.lab.06MIL0851.iso.1,0.7783664464950562
17,site.06.subj.SGD_0046-14.lab.06MIL0850.iso.1,0.7783664464950562
18,site.06.subj.MHL_0151-14.lab.06MIL0847.iso.1,0.6785372495651245
19,site.06.subj.06TB_0005.lab.06MIL0466.iso.1,0.7783664464950562
20,site.06.subj.MHL_0242-14.lab.06MIL0449.iso.1,0.7783664464950562
21,site.06.subj.MHL_0234-14.lab.06MIL0443.iso.1,0.7783664464950562
22,site.06.subj.JHL_0101-14.lab.06MIL0442.iso.1,0.8104377388954163
23,site.06.subj.BVH_0794-R.lab.06MIL0438.iso.1,0.7783664464950562
24,site.06.subj.JHL_0100-14.lab.06MIL0428.iso.1,0.7783664464950562
25,site.06.subj.NHM_0233-14.lab.06MIL0426.iso.1,0.7784922122955322
26,site.06.subj.SGD_0067-14.lab.06MIL0424.iso.1,0.7783664464950562
27,site.06.subj.NHM_0310-14.lab.06MIL0423.iso.1,0.7783664464950562
28,site.06.subj.JHL_0096-14.lab.06MIL0419.iso.1,0.7783664464950562
29,site.06.subj.NHM_0313-14.lab.06MIL0413.iso.1,0.7783664464950562
30,site.06.subj.RLH_0708-R.lab.06MIL0403.iso.1,0.5041293501853943
31,site.06.subj.SZH_0047-14.lab.06MIL0397.iso.1,0.7783663868904114
32,site.06.subj.MHL_0230-14.lab.06MIL0396.iso.1,0.5041293501853943
33,site.06.subj.MHL_0229-14.lab.06MIL0395.iso.1,0.7783664464950562
34,site.06.subj.NHM_0303-14.lab.06MIL0392.iso.1,0.7779278755187988
35,site.06.subj.BVH_0038-14.lab.06MIL0381.iso.1,0.7785535454750061
36,site.06.subj.PIMS_0056-14.lab.06MIL0374.iso.1,0.7783664464950562
37,site.06.subj.RLH_0315-14.lab.06MIL0370.iso.1,0.7778081893920898
38,site.06.subj.NHM_0295-14.lab.06MIL0369.iso.1,0.007886767387390137
39,site.06.subj.SGD_0063-14.lab.06MIL0365.iso.1,0.7761480808258057
40,site.06.subj.NHM_0287-14.lab.06MIL0363.iso.1,0.7783664464950562
41,site.06.subj.MHL_0222-14.lab.06MIL0359.iso.1,0.7783664464950562
42,site.06.subj.SZH_0042-14.lab.06MIL0358.iso.1,0.7783664464950562
43,site.06.subj.RLH_0312-14.lab.06MIL0354.iso.1,0.7783664464950562
44,site.06.subj.RLH_0313-14.lab.06MIL0353.iso.1,0.778570294380188
45,site.06.subj.RLH_0309-14.lab.06MIL0350.iso.1,0.7783664464950562
46,site.06.subj.NHM_0290-14.lab.06MIL0347.iso.1,0.7783664464950562
47,site.06.subj.NHM_0293-14.lab.06MIL0344.iso.1,0.7783664464950562
48,site.06.subj.SZH_0060-14.lab.06MIL0332.iso.1,0.7788773775100708
49,site.06.subj.ATH_0089-14.lab.06MIL0323.iso.1,0.7783664464950562
50,site.06.subj.SSM_0149-14.lab.06MIL0322.iso.1,0.7783664464950562
51,site.06.subj.NHM_0284-14.lab.06MIL0319.iso.1,0.7783664464950562
52,site.06.subj.SSM_0152-14.lab.06MIL0317.iso.1,0.778054416179657
53,site.06.subj.ATH_0088-14.lab.06MIL0309.iso.1,0.7783664464950562
54,site.06.subj.SSM_0155-14.lab.06MIL0307.iso.1,0.7782223224639893
55,site.06.subj.PIMS_0037-14.lab.06MIL0293.iso.1,0.7783664464950562
56,site.06.subj.JHL_0068-14.lab.06MIL0291.iso.1,0.7781795263290405
57,site.06.subj.JHL_0069-14.lab.06MIL0290.iso.1,0.7783664464950562
58,site.06.subj.SGD_0028-14.lab.06MIL0285.iso.1,0.7786735892295837
59,site.06.subj.RLH_0304-14.lab.06MIL0282.iso.1,0.8104377388954163
60,site.06.subj.RLH_0284-14.lab.06MIL0279.iso.1,0.7783664464950562
61,site.06.subj.MHL_0099-13.lab.06MIL0277.iso.1,0.7782129049301147
62,site.06.subj.RLH_0292-14.lab.06MIL0276.iso.1,0.7783663868904114
63,site.06.subj.SSM_0146-14.lab.06MIL0270.iso.1,0.7787812948226929
64,site.06.subj.JHL_0061-14.lab.06MIL0267.iso.1,0.7781574726104736
65,site.06.subj.BVH_0011-14.lab.06MIL0264.iso.1,0.017197608947753906
66,site.06.subj.BVH_0018-14.lab.06MIL0263.iso.1,0.7783664464950562
67,site.06.subj.SGD_0061-14.lab.06MIL0262.iso.1,0.7783664464950562
68,site.06.subj.SZH_0030-14.lab.06MIL0258.iso.1,0.7783664464950562
69,site.06.subj.RLH_0289-14.lab.06MIL0257.iso.1,0.7783664464950562
70,site.06.subj.ATH_0079-14.lab.06MIL0248.iso.1,0.7783664464950562
71,site.06.subj.SGDH_0048-14.lab.06MIL0243.iso.1,0.7783664464950562
72,site.06.subj.JHL_0057-14.lab.06MIL0233.iso.1,0.7783622741699219
73,site.06.subj.BVH_0399-R.lab.06MIL0230.iso.1,0.7785535454750061
74,site.06.subj.ATH_0068-14.lab.06MIL0226.iso.1,0.7783664464950562
75,site.06.subj.ATH_0075-14.lab.06MIL0214.iso.1,0.7794729471206665
76,site.06.subj.MHL_0181-14.lab.06MIL0203.iso.1,0.5041293501853943
77,site.06.subj.ATH_0073-14.lab.06MIL0196.iso.1,0.778475284576416
78,site.06.subj.RLH_0269-14.lab.06MIL0194.iso.1,0.7778081893920898
79,site.06.subj.SSM_0133-14.lab.06MIL0192.iso.1,0.7794729471206665
80,site.06.subj.SZH_0016-14.lab.06MIL0188.iso.1,0.7783664464950562
81,site.06.subj.SZH_0010-14.lab.06MIL0187.iso.1,0.7783664464950562
82,site.06.subj.PIMS_0019-14.lab.06MIL0181.iso.1,0.7785247564315796
83,site.06.subj.SSM_0130-14.lab.06MIL0180.iso.1,0.7483329176902771
84,site.06.subj.SSM_0127-14.lab.06MIL0177.iso.1,0.017148703336715698
85,site.06.subj.SSM_0128-14.lab.06MIL0176.iso.1,0.7794729471206665
86,site.06.subj.JHL_0054-14.lab.06MIL0172.iso.1,0.5041293501853943
87,site.06.subj.RLH_0261-14.lab.06MIL0164.iso.1,0.7784923315048218
88,site.06.subj.MHL_0156-14.lab.06MIL0152.iso.1,0.5042837858200073
89,site.06.subj.SSM_0247-R.lab.06MIL0149.iso.1,0.7782334685325623
90,site.06.subj.ATH_0065-14.lab.06MIL0147.iso.1,0.7789880633354187
91,site.06.subj.GDH_16999.lab.06MIL0146.iso.1,0.7783664464950562
92,site.06.subj.JHL_0030-14.lab.06MIL0143.iso.1,0.7766308188438416
93,site.06.subj.JHL_0037-14.lab.06MIL0140.iso.1,0.7783664464950562
94,site.06.subj.RLH_0251-14.lab.06MIL0139.iso.1,0.7783663868904114
95,site.06.subj.MHL_0162-14.lab.06MIL0137.iso.1,0.5041293501853943
96,site.06.subj.MHL_0159-14.lab.06MIL0134.iso.1,0.01703926920890808
97,site.06.subj.SSM_0220-R.lab.06MIL0132.iso.1,0.7783664464950562
98,site.06.subj.MHL_0153-14.lab.06MIL0131.iso.1,0.7783664464950562
99,site.06.subj.MHL_0166-14.lab.06MIL0129.iso.1,0.7783664464950562
100,site.06.subj.SSM_0201-R.lab.06MIL0119.iso.1,0.7788773775100708
101,site.06.subj.SGD_0011-14.lab.06MIL0111.iso.1,0.7793364524841309
102,site.06.subj.SSM_0179-R.lab.06MIL0098.iso.1,0.7783664464950562
103,site.06.subj.PIMS_0004-14.lab.06MIL0097.iso.1,0.7736015319824219
104,site.06.subj.ATH_0061-14.lab.06MIL0093.iso.1,0.7783664464950562
105,site.06.subj.SGD_0012-14.lab.06MIL0092.iso.1,0.01703926920890808
106,site.06.subj.SSM_0161-R.lab.06MIL0087.iso.1,0.7783664464950562
107,site.06.subj.SGD_0010-14.lab.06MIL0085.iso.1,0.7783664464950562
108,site.06.subj.ATH_0060-14.lab.06MIL0083.iso.1,0.017303943634033203
109,site.06.subj.SSM_0154-R.lab.06MIL0082.iso.1,0.7783664464950562
110,site.06.subj.MHL_0013-12.lab.06MIL0079.iso.1,0.7783664464950562
111,site.06.subj.MHL_0150-14.lab.06MIL0075.iso.1,0.7784039974212646
112,site.06.subj.MHL_0143-14.lab.06MIL0073.iso.1,0.7786972522735596
113,site.06.subj.JHL_1344-15-R.lab.06MIL0070.iso.1,0.7783664464950562
114,site.06.subj.SSM_0109-14.lab.06MIL0066.iso.1,0.7794729471206665
115,site.06.subj.SZH_0121-15.lab.06MIL0062.iso.1,0.7784541845321655
116,site.06.subj.MHL_1323-15-R.lab.06MIL0060.iso.1,0.7783724665641785
117,site.06.subj.RLH_0237-14.lab.06MIL0052.iso.1,0.7783458232879639
118,site.06.subj.MHL_0146-14.lab.06MIL0051.iso.1,0.7783664464950562
119,site.06.subj.MHL_0142-14.lab.06MIL0050.iso.1,0.7783664464950562
120,site.06.subj.MHL_0135-14.lab.06MIL0048.iso.1,0.7783664464950562
121,site.06.subj.ATH_0057-14.lab.06MIL0042.iso.1,0.7783664464950562
