,Isolate,ETHAMBUTOL
0,site.06.subj.06TB_0115.lab.06MIL1028.iso.1,0.0899394154548645
1,site.06.subj.06TB_0434.lab.06MIL1025.iso.1,0.038986533880233765
2,site.06.subj.SSM_0098-14.lab.06MIL0016.iso.1,0.026249200105667114
3,site.06.subj.06TB_0390.lab.06MIL0986.iso.1,0.59874027967453
4,site.06.subj.06TB_0399.lab.06MIL0990.iso.1,0.0899394154548645
5,site.06.subj.06TB_0291.lab.06MIL0882.iso.1,0.918933629989624
6,site.06.subj.06TB_0290.lab.06MIL0881.iso.1,0.06025123596191406
7,site.06.subj.06TB_0286.lab.06MIL0877.iso.1,0.5084595680236816
8,site.06.subj.06TB_0274.lab.06MIL0865.iso.1,0.13528627157211304
9,site.06.subj.06TB_0005.lab.06MIL0466.iso.1,0.13528627157211304
10,site.06.subj.MHL_0242-14.lab.06MIL0449.iso.1,0.08230787515640259
11,site.06.subj.JHL_0101-14.lab.06MIL0442.iso.1,0.268383264541626
12,site.06.subj.BVH_0794-R.lab.06MIL0438.iso.1,0.9887570142745972
13,site.06.subj.NHM_0233-14.lab.06MIL0426.iso.1,0.9887889623641968
14,site.06.subj.SGD_0067-14.lab.06MIL0424.iso.1,0.9887570142745972
15,site.06.subj.NHM_0313-14.lab.06MIL0413.iso.1,0.6700183749198914
16,site.06.subj.RLH_0708-R.lab.06MIL0403.iso.1,0.9887570142745972
17,site.06.subj.SZH_0047-14.lab.06MIL0397.iso.1,0.9887527227401733
18,site.06.subj.MHL_0230-14.lab.06MIL0396.iso.1,0.24744418263435364
19,site.06.subj.MHL_0229-14.lab.06MIL0395.iso.1,0.45967403054237366
20,site.06.subj.PIMS_0056-14.lab.06MIL0374.iso.1,0.5020754337310791
21,site.06.subj.RLH_0315-14.lab.06MIL0370.iso.1,0.08410918712615967
22,site.06.subj.NHM_0295-14.lab.06MIL0369.iso.1,0.04103189706802368
23,site.06.subj.SGD_0063-14.lab.06MIL0365.iso.1,0.4453195631504059
24,site.06.subj.MHL_0222-14.lab.06MIL0359.iso.1,0.9887570142745972
25,site.06.subj.SZH_0042-14.lab.06MIL0358.iso.1,0.09000140428543091
26,site.06.subj.SZH_0060-14.lab.06MIL0332.iso.1,0.9918926358222961
27,site.06.subj.SSM_0149-14.lab.06MIL0322.iso.1,0.7925866842269897
28,site.06.subj.NHM_0284-14.lab.06MIL0319.iso.1,0.9887570142745972
29,site.06.subj.SSM_0152-14.lab.06MIL0317.iso.1,0.06424704194068909
30,site.06.subj.SSM_0158-14.lab.06MIL0304.iso.1,0.9886801838874817
31,site.06.subj.PIMS_0037-14.lab.06MIL0293.iso.1,0.9723970890045166
32,site.06.subj.MHL_0099-13.lab.06MIL0277.iso.1,0.8725874423980713
33,site.06.subj.SSM_0146-14.lab.06MIL0270.iso.1,0.12331664562225342
34,site.06.subj.BVH_0011-14.lab.06MIL0264.iso.1,0.287143349647522
35,site.06.subj.BVH_0018-14.lab.06MIL0263.iso.1,0.815281867980957
36,site.06.subj.ATH_0079-14.lab.06MIL0248.iso.1,0.9887537956237793
37,site.06.subj.JHL_0057-14.lab.06MIL0233.iso.1,0.7432287931442261
38,site.06.subj.BVH_0399-R.lab.06MIL0230.iso.1,0.9887778759002686
39,site.06.subj.ATH_0068-14.lab.06MIL0226.iso.1,0.0899394154548645
40,site.06.subj.ATH_0075-14.lab.06MIL0214.iso.1,0.09859994053840637
41,site.06.subj.SSM_0133-14.lab.06MIL0192.iso.1,0.09859994053840637
42,site.06.subj.RLH_0264-14.lab.06MIL0191.iso.1,0.024294644594192505
43,site.06.subj.SZH_0010-14.lab.06MIL0187.iso.1,0.9887570142745972
44,site.06.subj.PIMS_0019-14.lab.06MIL0181.iso.1,0.05503806471824646
45,site.06.subj.SSM_0130-14.lab.06MIL0180.iso.1,0.9887579679489136
46,site.06.subj.SSM_0127-14.lab.06MIL0177.iso.1,0.093426913022995
47,site.06.subj.JHL_0054-14.lab.06MIL0172.iso.1,0.14209556579589844
48,site.06.subj.RLH_0261-14.lab.06MIL0164.iso.1,0.6739317178726196
49,site.06.subj.SSM_0247-R.lab.06MIL0149.iso.1,0.988843560218811
50,site.06.subj.ATH_0065-14.lab.06MIL0147.iso.1,0.3128099739551544
51,site.06.subj.GDH_16999.lab.06MIL0146.iso.1,0.9887570142745972
52,site.06.subj.JHL_0030-14.lab.06MIL0143.iso.1,0.04103189706802368
53,site.06.subj.JHL_0037-14.lab.06MIL0140.iso.1,0.11616763472557068
54,site.06.subj.MHL_0162-14.lab.06MIL0137.iso.1,0.5572435259819031
55,site.06.subj.MHL_0159-14.lab.06MIL0134.iso.1,0.13262200355529785
56,site.06.subj.06TB_0002.lab.06MIL0463.iso.1,0.24684745073318481
57,site.06.subj.SSM_0220-R.lab.06MIL0132.iso.1,0.9887570142745972
58,site.06.subj.MHL_0166-14.lab.06MIL0129.iso.1,0.5046883225440979
59,site.06.subj.SSM_0179-R.lab.06MIL0098.iso.1,0.9887570142745972
60,site.06.subj.ATH_0061-14.lab.06MIL0093.iso.1,0.9818110466003418
61,site.06.subj.SGD_0012-14.lab.06MIL0092.iso.1,0.0757913887500763
62,site.06.subj.ATH_0060-14.lab.06MIL0083.iso.1,0.0985998809337616
63,site.06.subj.SSM_0154-R.lab.06MIL0082.iso.1,0.9887570142745972
64,site.06.subj.MHL_0013-12.lab.06MIL0079.iso.1,0.5531229376792908
65,site.06.subj.MHL_0143-14.lab.06MIL0073.iso.1,0.026249200105667114
66,site.06.subj.JHL_1344-15-R.lab.06MIL0070.iso.1,0.9887570142745972
67,site.06.subj.SZH_0121-15.lab.06MIL0062.iso.1,0.4043481647968292
68,site.06.subj.MHL_1323-15-R.lab.06MIL0060.iso.1,0.7173991203308105
69,site.06.subj.MHL_0146-14.lab.06MIL0051.iso.1,0.8443261981010437
70,site.06.subj.MHL_0142-14.lab.06MIL0050.iso.1,0.9832212328910828
71,site.06.subj.ATH_0057-14.lab.06MIL0042.iso.1,0.9887688755989075
72,site.06.subj.SSM_0095-R.lab.06MIL0032.iso.1,0.8728053569793701
73,site.06.subj.RLH_0091-15R.lab.06MIL0030.iso.1,0.9887570142745972
74,site.06.subj.RLH_0232-14.lab.06MIL0009.iso.1,0.8072299957275391
75,site.06.subj.RLH_0234-14.lab.06MIL0008.iso.1,0.1522253453731537
76,site.06.subj.SSM_0043-R.lab.06MIL0007.iso.1,0.9887570142745972
77,site.02.subj.0002.lab.2014222005.iso.1,0.8724751472473145
78,site.02.subj.0004.lab.2014222010.iso.1,0.8779350519180298
79,site.02.subj.0005.lab.2014222011.iso.1,0.8724751472473145
80,site.02.subj.0006.lab.2014222013.iso.1,0.8508851528167725
81,site.02.subj.0007.lab.2014222016.iso.1,0.8724751472473145
