,Isolate,ISONIAZID
0,site.06.subj.06TB_0115.lab.06MIL1028.iso.1,0.02002197504043579
1,site.06.subj.06TB_0434.lab.06MIL1025.iso.1,0.019967854022979736
2,site.06.subj.SSM_0098-14.lab.06MIL0016.iso.1,0.02002197504043579
3,site.06.subj.06TB_0428.lab.06MIL1019.iso.1,0.012961745262145996
4,site.06.subj.PIMS_0043-14.lab.06MIL0244.iso.1,0.8938344717025757
5,site.06.subj.06TB_0413.lab.06MIL1004.iso.1,0.008504778146743774
6,site.06.subj.06TB_0401.lab.06MIL0992.iso.1,0.016451328992843628
7,site.06.subj.06TB_0390.lab.06MIL0986.iso.1,0.02002197504043579
8,site.06.subj.06TB_0293.lab.06MIL0884.iso.1,0.019967854022979736
9,site.06.subj.06TB_0291.lab.06MIL0882.iso.1,0.08683598041534424
10,site.06.subj.06TB_0290.lab.06MIL0881.iso.1,0.01669532060623169
11,site.06.subj.06TB_0286.lab.06MIL0877.iso.1,0.023193061351776123
12,site.06.subj.06TB_0274.lab.06MIL0865.iso.1,0.020055145025253296
13,site.06.subj.06TB_0272.lab.06MIL0863.iso.1,0.011048853397369385
14,site.06.subj.06TB_0007.lab.06MIL0861.iso.1,0.9581862688064575
15,site.06.subj.06TB_0265.lab.06MIL0856.iso.1,0.008504778146743774
16,site.06.subj.06TB_0264.lab.06MIL0855.iso.1,0.016451328992843628
17,site.06.subj.06TB_0260.lab.06MIL0851.iso.1,0.01632791757583618
18,site.06.subj.SGD_0046-14.lab.06MIL0850.iso.1,0.10077738761901855
19,site.06.subj.06TB_0005.lab.06MIL0466.iso.1,0.023231148719787598
20,site.06.subj.RLH_0332-14.lab.06MIL0451.iso.1,0.01632791757583618
21,site.06.subj.MHL_0242-14.lab.06MIL0449.iso.1,0.016451328992843628
22,site.06.subj.MHL_0234-14.lab.06MIL0443.iso.1,0.016324609518051147
23,site.06.subj.JHL_0101-14.lab.06MIL0442.iso.1,0.016660302877426147
24,site.06.subj.BVH_0794-R.lab.06MIL0438.iso.1,0.01632791757583618
