,Isolate,LEVOFLOXACIN
0,site.06.subj.06TB_0115.lab.06MIL1028.iso.1,0.9179896116256714
1,site.06.subj.SSM_0098-14.lab.06MIL0016.iso.1,0.017901718616485596
2,site.06.subj.PIMS_0043-14.lab.06MIL0244.iso.1,0.9179896116256714
3,site.06.subj.06TB_0413.lab.06MIL1004.iso.1,0.9179896116256714
4,site.06.subj.06TB_0390.lab.06MIL0986.iso.1,0.017901718616485596
5,site.06.subj.06TB_0399.lab.06MIL0990.iso.1,0.017901718616485596
6,site.06.subj.06TB_0291.lab.06MIL0882.iso.1,0.9179896116256714
7,site.06.subj.06TB_0290.lab.06MIL0881.iso.1,0.9179896116256714
8,site.06.subj.06TB_0274.lab.06MIL0865.iso.1,0.9179896116256714
9,site.06.subj.06TB_0272.lab.06MIL0863.iso.1,0.07937398552894592
10,site.06.subj.06TB_0260.lab.06MIL0851.iso.1,0.9178698062896729
11,site.06.subj.SGD_0046-14.lab.06MIL0850.iso.1,0.004627615213394165
12,site.06.subj.06TB_0005.lab.06MIL0466.iso.1,0.9179896116256714
13,site.06.subj.RLH_0332-14.lab.06MIL0451.iso.1,0.9179896116256714
14,site.06.subj.MHL_0242-14.lab.06MIL0449.iso.1,0.07953763008117676
15,site.06.subj.MHL_0234-14.lab.06MIL0443.iso.1,0.9179896116256714
16,site.06.subj.JHL_0101-14.lab.06MIL0442.iso.1,0.8388768434524536
17,site.06.subj.BVH_0794-R.lab.06MIL0438.iso.1,0.9179896116256714
18,site.06.subj.JHL_0100-14.lab.06MIL0428.iso.1,0.9179896116256714
19,site.06.subj.NHM_0233-14.lab.06MIL0426.iso.1,0.9169889092445374
20,site.06.subj.SGD_0067-14.lab.06MIL0424.iso.1,0.08683717250823975
21,site.06.subj.NHM_0310-14.lab.06MIL0423.iso.1,0.9179896116256714
22,site.06.subj.NHM_0313-14.lab.06MIL0413.iso.1,0.9179896116256714
23,site.06.subj.RLH_0708-R.lab.06MIL0403.iso.1,0.9179896116256714
24,site.06.subj.SZH_0047-14.lab.06MIL0397.iso.1,0.9179896116256714
25,site.06.subj.MHL_0230-14.lab.06MIL0396.iso.1,0.07937398552894592
26,site.06.subj.MHL_0229-14.lab.06MIL0395.iso.1,0.08654516935348511
27,site.06.subj.BVH_0038-14.lab.06MIL0381.iso.1,0.9179896116256714
28,site.06.subj.PIMS_0056-14.lab.06MIL0374.iso.1,0.07937398552894592
29,site.06.subj.RLH_0315-14.lab.06MIL0370.iso.1,0.9179896116256714
30,site.06.subj.NHM_0295-14.lab.06MIL0369.iso.1,0.10800164937973022
31,site.06.subj.SGD_0063-14.lab.06MIL0365.iso.1,0.01792094111442566
32,site.06.subj.NHM_0287-14.lab.06MIL0363.iso.1,0.8802759647369385
33,site.06.subj.MHL_0222-14.lab.06MIL0359.iso.1,0.9183207750320435
34,site.06.subj.SZH_0042-14.lab.06MIL0358.iso.1,0.017901718616485596
35,site.06.subj.RLH_0309-14.lab.06MIL0350.iso.1,0.0863923728466034
36,site.06.subj.NHM_0290-14.lab.06MIL0347.iso.1,0.10800164937973022
37,site.06.subj.SZH_0060-14.lab.06MIL0332.iso.1,0.007735759019851685
38,site.06.subj.SSM_0149-14.lab.06MIL0322.iso.1,0.9179896116256714
39,site.06.subj.NHM_0284-14.lab.06MIL0319.iso.1,0.91825270652771
40,site.06.subj.ATH_0088-14.lab.06MIL0309.iso.1,0.9179896116256714
41,site.06.subj.SSM_0155-14.lab.06MIL0307.iso.1,0.9179896116256714
42,site.06.subj.SSM_0158-14.lab.06MIL0304.iso.1,0.9179896116256714
43,site.06.subj.JHL_0068-14.lab.06MIL0291.iso.1,0.9179896116256714
44,site.06.subj.JHL_0069-14.lab.06MIL0290.iso.1,0.017901718616485596
45,site.06.subj.RLH_0304-14.lab.06MIL0282.iso.1,0.8388768434524536
46,site.06.subj.RLH_0284-14.lab.06MIL0279.iso.1,0.017901718616485596
47,site.06.subj.RLH_0292-14.lab.06MIL0276.iso.1,0.9179896116256714
48,site.06.subj.SSM_0146-14.lab.06MIL0270.iso.1,0.9179896116256714
49,site.06.subj.BVH_0011-14.lab.06MIL0264.iso.1,0.08683717250823975
50,site.06.subj.SGD_0061-14.lab.06MIL0262.iso.1,0.9179896116256714
51,site.06.subj.SZH_0030-14.lab.06MIL0258.iso.1,0.9176976680755615
52,site.06.subj.ATH_0079-14.lab.06MIL0248.iso.1,0.9179896116256714
53,site.06.subj.SGDH_0048-14.lab.06MIL0243.iso.1,0.9179896116256714
54,site.06.subj.BVH_0399-R.lab.06MIL0230.iso.1,0.9179896116256714
55,site.06.subj.ATH_0068-14.lab.06MIL0226.iso.1,0.9179896116256714
56,site.06.subj.RLH_0269-14.lab.06MIL0194.iso.1,0.9179896116256714
57,site.06.subj.RLH_0264-14.lab.06MIL0191.iso.1,0.07953763008117676
58,site.06.subj.SZH_0016-14.lab.06MIL0188.iso.1,0.017901718616485596
59,site.06.subj.PIMS_0019-14.lab.06MIL0181.iso.1,0.017901718616485596
60,site.06.subj.SSM_0130-14.lab.06MIL0180.iso.1,0.22856271266937256
61,site.06.subj.SSM_0127-14.lab.06MIL0177.iso.1,0.08683717250823975
62,site.06.subj.SSM_0128-14.lab.06MIL0176.iso.1,0.03184700012207031
63,site.06.subj.MHL_0156-14.lab.06MIL0152.iso.1,0.9179895520210266
64,site.06.subj.SSM_0247-R.lab.06MIL0149.iso.1,0.9179896116256714
65,site.06.subj.GDH_16999.lab.06MIL0146.iso.1,0.08683717250823975
66,site.06.subj.JHL_0030-14.lab.06MIL0143.iso.1,0.017901718616485596
67,site.06.subj.SSM_0236-R.lab.06MIL0141.iso.1,0.9182836413383484
68,site.06.subj.JHL_0037-14.lab.06MIL0140.iso.1,0.9249023199081421
69,site.06.subj.MHL_0162-14.lab.06MIL0137.iso.1,0.22856271266937256
70,site.06.subj.MHL_0159-14.lab.06MIL0134.iso.1,0.01789569854736328
71,site.06.subj.06TB_0002.lab.06MIL0463.iso.1,0.22856271266937256
72,site.06.subj.SSM_0220-R.lab.06MIL0132.iso.1,0.9179896116256714
73,site.06.subj.MHL_0166-14.lab.06MIL0129.iso.1,0.9178026914596558
74,site.06.subj.SSM_0201-R.lab.06MIL0119.iso.1,0.8345226049423218
75,site.06.subj.SSM_0179-R.lab.06MIL0098.iso.1,0.9179896116256714
76,site.06.subj.SGD_0012-14.lab.06MIL0092.iso.1,0.01789569854736328
77,site.06.subj.SSM_0161-R.lab.06MIL0087.iso.1,0.011395573616027832
78,site.06.subj.ATH_0060-14.lab.06MIL0083.iso.1,0.05493718385696411
79,site.06.subj.SSM_0154-R.lab.06MIL0082.iso.1,0.9179896116256714
80,site.06.subj.MHL_0013-12.lab.06MIL0079.iso.1,0.9153879880905151
81,site.06.subj.MHL_0150-14.lab.06MIL0075.iso.1,0.9179896116256714
82,site.06.subj.MHL_0143-14.lab.06MIL0073.iso.1,0.9179896116256714
83,site.06.subj.JHL_1344-15-R.lab.06MIL0070.iso.1,0.9179896116256714
84,site.06.subj.SZH_0121-15.lab.06MIL0062.iso.1,0.08683717250823975
85,site.06.subj.MHL_1323-15-R.lab.06MIL0060.iso.1,0.07937398552894592
86,site.06.subj.MHL_0146-14.lab.06MIL0051.iso.1,0.918209433555603
87,site.06.subj.MHL_0142-14.lab.06MIL0050.iso.1,0.017898112535476685
88,site.06.subj.MHL_0135-14.lab.06MIL0048.iso.1,0.22957772016525269
