,Isolate,MOXIFLOXACIN
0,site.06.subj.PIMS_0043-14.lab.06MIL0244.iso.1,0.7212468385696411
1,site.06.subj.06TB_0413.lab.06MIL1004.iso.1,0.7212468385696411
2,site.06.subj.06TB_0390.lab.06MIL0986.iso.1,0.023191064596176147
3,site.06.subj.06TB_0399.lab.06MIL0990.iso.1,0.023191064596176147
4,site.06.subj.06TB_0293.lab.06MIL0884.iso.1,0.722032368183136
5,site.06.subj.06TB_0291.lab.06MIL0882.iso.1,0.7212468385696411
6,site.06.subj.06TB_0286.lab.06MIL0877.iso.1,0.14837050437927246
7,site.06.subj.06TB_0274.lab.06MIL0865.iso.1,0.7212468385696411
8,site.06.subj.06TB_0272.lab.06MIL0863.iso.1,0.08138948678970337
9,site.06.subj.06TB_0264.lab.06MIL0855.iso.1,0.04832792282104492
10,site.06.subj.06TB_0260.lab.06MIL0851.iso.1,0.7212098836898804
11,site.06.subj.06TB_0005.lab.06MIL0466.iso.1,0.7212468385696411
12,site.06.subj.RLH_0332-14.lab.06MIL0451.iso.1,0.7212468385696411
13,site.06.subj.MHL_0242-14.lab.06MIL0449.iso.1,0.08146199584007263
14,site.06.subj.MHL_0234-14.lab.06MIL0443.iso.1,0.7212468385696411
15,site.06.subj.JHL_0101-14.lab.06MIL0442.iso.1,0.7149542570114136
16,site.06.subj.BVH_0794-R.lab.06MIL0438.iso.1,0.7212468385696411
17,site.06.subj.JHL_0100-14.lab.06MIL0428.iso.1,0.7212468385696411
18,site.06.subj.NHM_0233-14.lab.06MIL0426.iso.1,0.7246285080909729
19,site.06.subj.SGD_0067-14.lab.06MIL0424.iso.1,0.0351010262966156
20,site.06.subj.NHM_0310-14.lab.06MIL0423.iso.1,0.7212468385696411
21,site.06.subj.JHL_0096-14.lab.06MIL0419.iso.1,0.023213118314743042
22,site.06.subj.NHM_0313-14.lab.06MIL0413.iso.1,0.7212468385696411
23,site.06.subj.RLH_0708-R.lab.06MIL0403.iso.1,0.7212468385696411
24,site.06.subj.SZH_0047-14.lab.06MIL0397.iso.1,0.7212468385696411
25,site.06.subj.PIMS_0056-14.lab.06MIL0374.iso.1,0.08138948678970337
26,site.06.subj.RLH_0315-14.lab.06MIL0370.iso.1,0.7212468385696411
27,site.06.subj.NHM_0295-14.lab.06MIL0369.iso.1,0.03587934374809265
28,site.06.subj.SGD_0063-14.lab.06MIL0365.iso.1,0.02322426438331604
29,site.06.subj.NHM_0287-14.lab.06MIL0363.iso.1,0.255069762468338
30,site.06.subj.MHL_0222-14.lab.06MIL0359.iso.1,0.7210643887519836
31,site.06.subj.SZH_0042-14.lab.06MIL0358.iso.1,0.023191064596176147
32,site.06.subj.RLH_0313-14.lab.06MIL0353.iso.1,0.7212468385696411
33,site.06.subj.RLH_0309-14.lab.06MIL0350.iso.1,0.08298361301422119
34,site.06.subj.NHM_0290-14.lab.06MIL0347.iso.1,0.03587934374809265
35,site.06.subj.SZH_0060-14.lab.06MIL0332.iso.1,0.012584924697875977
36,site.06.subj.NHM_0284-14.lab.06MIL0319.iso.1,0.7212879657745361
37,site.06.subj.SSM_0152-14.lab.06MIL0317.iso.1,0.7212468385696411
38,site.06.subj.ATH_0088-14.lab.06MIL0309.iso.1,0.7212468385696411
39,site.06.subj.PIMS_0037-14.lab.06MIL0293.iso.1,0.7212468385696411
40,site.06.subj.JHL_0068-14.lab.06MIL0291.iso.1,0.7212468385696411
41,site.06.subj.JHL_0069-14.lab.06MIL0290.iso.1,0.023191064596176147
42,site.06.subj.SGD_0028-14.lab.06MIL0285.iso.1,0.7212468385696411
43,site.06.subj.RLH_0304-14.lab.06MIL0282.iso.1,0.7149542570114136
44,site.06.subj.MHL_0099-13.lab.06MIL0277.iso.1,0.7212468385696411
45,site.06.subj.RLH_0292-14.lab.06MIL0276.iso.1,0.7212468385696411
46,site.06.subj.SSM_0146-14.lab.06MIL0270.iso.1,0.7212468385696411
47,site.06.subj.JHL_0061-14.lab.06MIL0267.iso.1,0.7212468385696411
48,site.06.subj.SGD_0061-14.lab.06MIL0262.iso.1,0.7212468385696411
49,site.06.subj.SZH_0033-14.lab.06MIL0261.iso.1,0.7212468385696411
50,site.06.subj.SGDH_0048-14.lab.06MIL0243.iso.1,0.7212468385696411
51,site.06.subj.BVH_0399-R.lab.06MIL0230.iso.1,0.7212468385696411
52,site.06.subj.SGD_0038-14.lab.06MIL0224.iso.1,0.023253142833709717
53,site.06.subj.RLH_0269-14.lab.06MIL0194.iso.1,0.7212468385696411
54,site.06.subj.RLH_0264-14.lab.06MIL0191.iso.1,0.08146199584007263
55,site.06.subj.SZH_0016-14.lab.06MIL0188.iso.1,0.023191064596176147
56,site.06.subj.SZH_0010-14.lab.06MIL0187.iso.1,0.7212468385696411
57,site.06.subj.PIMS_0019-14.lab.06MIL0181.iso.1,0.023191064596176147
58,site.06.subj.SSM_0130-14.lab.06MIL0180.iso.1,0.08665269613265991
59,site.06.subj.SSM_0127-14.lab.06MIL0177.iso.1,0.0351010262966156
60,site.06.subj.SSM_0128-14.lab.06MIL0176.iso.1,0.03126490116119385
61,site.06.subj.JHL_0054-14.lab.06MIL0172.iso.1,0.017120718955993652
62,site.06.subj.MHL_0156-14.lab.06MIL0152.iso.1,0.7212468385696411
63,site.06.subj.SSM_0247-R.lab.06MIL0149.iso.1,0.7212468385696411
64,site.06.subj.JHL_0030-14.lab.06MIL0143.iso.1,0.023191064596176147
65,site.06.subj.SSM_0236-R.lab.06MIL0141.iso.1,0.6975075602531433
66,site.06.subj.JHL_0037-14.lab.06MIL0140.iso.1,0.7247074842453003
67,site.06.subj.MHL_0162-14.lab.06MIL0137.iso.1,0.08665269613265991
68,site.06.subj.MHL_0159-14.lab.06MIL0134.iso.1,0.023247718811035156
69,site.06.subj.06TB_0002.lab.06MIL0463.iso.1,0.08665269613265991
70,site.06.subj.SSM_0220-R.lab.06MIL0132.iso.1,0.7212468385696411
71,site.06.subj.MHL_0166-14.lab.06MIL0129.iso.1,0.7202126979827881
72,site.06.subj.SSM_0201-R.lab.06MIL0119.iso.1,0.7148495316505432
73,site.06.subj.SGD_0011-14.lab.06MIL0111.iso.1,0.726203441619873
74,site.06.subj.SSM_0179-R.lab.06MIL0098.iso.1,0.7212468385696411
75,site.06.subj.PIMS_0004-14.lab.06MIL0097.iso.1,0.7212468385696411
76,site.06.subj.ATH_0061-14.lab.06MIL0093.iso.1,0.7212468385696411
77,site.06.subj.SGD_0012-14.lab.06MIL0092.iso.1,0.023247718811035156
78,site.06.subj.SGD_0010-14.lab.06MIL0085.iso.1,0.721082866191864
79,site.06.subj.ATH_0060-14.lab.06MIL0083.iso.1,0.08316439390182495
80,site.06.subj.SSM_0154-R.lab.06MIL0082.iso.1,0.7212468385696411
81,site.06.subj.MHL_0150-14.lab.06MIL0075.iso.1,0.7212468385696411
82,site.06.subj.JHL_1344-15-R.lab.06MIL0070.iso.1,0.7212468385696411
83,site.06.subj.SZH_0121-15.lab.06MIL0062.iso.1,0.0351010262966156
84,site.06.subj.MHL_1323-15-R.lab.06MIL0060.iso.1,0.08138948678970337
85,site.06.subj.MHL_0135-14.lab.06MIL0048.iso.1,0.0867028534412384
86,site.06.subj.SSM_0108-R.lab.06MIL0040.iso.1,0.7212468385696411
87,site.06.subj.SSM_0095-R.lab.06MIL0032.iso.1,0.7215133905410767
88,site.06.subj.RLH_0234-14.lab.06MIL0008.iso.1,0.08138948678970337
