,Isolate,RIFAMPICIN
0,site.06.subj.06TB_0434.lab.06MIL1025.iso.1,0.01161155104637146
1,site.06.subj.SSM_0098-14.lab.06MIL0016.iso.1,0.018920809030532837
2,site.06.subj.06TB_0428.lab.06MIL1019.iso.1,0.021077215671539307
3,site.06.subj.PIMS_0043-14.lab.06MIL0244.iso.1,0.013806968927383423
4,site.06.subj.06TB_0413.lab.06MIL1004.iso.1,0.01792261004447937
5,site.06.subj.06TB_0401.lab.06MIL0992.iso.1,0.018790006637573242
6,site.06.subj.06TB_0390.lab.06MIL0986.iso.1,0.01893669366836548
7,site.06.subj.06TB_0399.lab.06MIL0990.iso.1,0.02117881178855896
8,site.06.subj.06TB_0293.lab.06MIL0884.iso.1,0.01161155104637146
9,site.06.subj.06TB_0291.lab.06MIL0882.iso.1,0.037918686866760254
10,site.06.subj.06TB_0290.lab.06MIL0881.iso.1,0.019542813301086426
11,site.06.subj.06TB_0286.lab.06MIL0877.iso.1,0.018936097621917725
12,site.06.subj.06TB_0274.lab.06MIL0865.iso.1,0.01890358328819275
13,site.06.subj.06TB_0272.lab.06MIL0863.iso.1,0.020187079906463623
14,site.06.subj.06TB_0007.lab.06MIL0861.iso.1,0.9316017031669617
15,site.06.subj.06TB_0265.lab.06MIL0856.iso.1,0.01858574151992798
16,site.06.subj.06TB_0264.lab.06MIL0855.iso.1,0.018819212913513184
17,site.06.subj.06TB_0260.lab.06MIL0851.iso.1,0.024048149585723877
18,site.06.subj.SGD_0046-14.lab.06MIL0850.iso.1,0.04020091891288757
19,site.06.subj.MHL_0151-14.lab.06MIL0847.iso.1,0.026768893003463745
20,site.06.subj.06TB_0005.lab.06MIL0466.iso.1,0.01890358328819275
21,site.06.subj.RLH_0332-14.lab.06MIL0451.iso.1,0.015306681394577026
22,site.06.subj.MHL_0242-14.lab.06MIL0449.iso.1,0.018818438053131104
23,site.06.subj.MHL_0234-14.lab.06MIL0443.iso.1,0.0889943540096283
24,site.06.subj.JHL_0101-14.lab.06MIL0442.iso.1,0.018818438053131104
25,site.06.subj.BVH_0794-R.lab.06MIL0438.iso.1,0.9689503908157349
26,site.06.subj.JHL_0100-14.lab.06MIL0428.iso.1,0.025155246257781982
27,site.06.subj.NHM_0233-14.lab.06MIL0426.iso.1,0.13702714443206787
28,site.06.subj.SGD_0067-14.lab.06MIL0424.iso.1,0.00846010446548462
29,site.06.subj.NHM_0310-14.lab.06MIL0423.iso.1,0.5730785131454468
30,site.06.subj.JHL_0096-14.lab.06MIL0419.iso.1,0.025413423776626587
31,site.06.subj.NHM_0313-14.lab.06MIL0413.iso.1,0.2853197455406189
32,site.06.subj.RLH_0708-R.lab.06MIL0403.iso.1,0.9689503908157349
33,site.06.subj.MHL_0230-14.lab.06MIL0396.iso.1,0.01888379454612732
34,site.06.subj.MHL_0229-14.lab.06MIL0395.iso.1,0.026768893003463745
35,site.06.subj.NHM_0303-14.lab.06MIL0392.iso.1,0.015306681394577026
36,site.06.subj.BVH_0038-14.lab.06MIL0381.iso.1,0.025117337703704834
37,site.06.subj.PIMS_0056-14.lab.06MIL0374.iso.1,0.025161683559417725
38,site.06.subj.NHM_0295-14.lab.06MIL0369.iso.1,0.02410486340522766
39,site.06.subj.SGD_0063-14.lab.06MIL0365.iso.1,0.07417234778404236
40,site.06.subj.NHM_0287-14.lab.06MIL0363.iso.1,0.9689503908157349
41,site.06.subj.MHL_0222-14.lab.06MIL0359.iso.1,0.033199161291122437
42,site.06.subj.SZH_0042-14.lab.06MIL0358.iso.1,0.02117571234703064
43,site.06.subj.RLH_0312-14.lab.06MIL0354.iso.1,0.03928479552268982
44,site.06.subj.RLH_0313-14.lab.06MIL0353.iso.1,0.025204479694366455
45,site.06.subj.RLH_0309-14.lab.06MIL0350.iso.1,0.03928479552268982
46,site.06.subj.NHM_0290-14.lab.06MIL0347.iso.1,0.02515009045600891
47,site.06.subj.NHM_0293-14.lab.06MIL0344.iso.1,0.025155246257781982
48,site.06.subj.SZH_0060-14.lab.06MIL0332.iso.1,0.9315794706344604
49,site.06.subj.ATH_0089-14.lab.06MIL0323.iso.1,0.025155246257781982
50,site.06.subj.SSM_0149-14.lab.06MIL0322.iso.1,0.021201342344284058
51,site.06.subj.NHM_0284-14.lab.06MIL0319.iso.1,0.937974214553833
52,site.06.subj.SSM_0152-14.lab.06MIL0317.iso.1,0.02511480450630188
53,site.06.subj.ATH_0088-14.lab.06MIL0309.iso.1,0.025155246257781982
54,site.06.subj.SSM_0155-14.lab.06MIL0307.iso.1,0.025339782238006592
55,site.06.subj.SSM_0158-14.lab.06MIL0304.iso.1,0.015306681394577026
56,site.06.subj.RLH_0305-14.lab.06MIL0297.iso.1,0.025133520364761353
57,site.06.subj.PIMS_0037-14.lab.06MIL0293.iso.1,0.0239621102809906
58,site.06.subj.JHL_0069-14.lab.06MIL0290.iso.1,0.2607072591781616
59,site.06.subj.SGD_0028-14.lab.06MIL0285.iso.1,0.022460758686065674
60,site.06.subj.RLH_0304-14.lab.06MIL0282.iso.1,0.09144723415374756
61,site.06.subj.RLH_0284-14.lab.06MIL0279.iso.1,0.5765533447265625
62,site.06.subj.MHL_0099-13.lab.06MIL0277.iso.1,0.018818438053131104
63,site.06.subj.RLH_0292-14.lab.06MIL0276.iso.1,0.5730785131454468
64,site.06.subj.SSM_0146-14.lab.06MIL0270.iso.1,0.015766888856887817
65,site.06.subj.BVH_0011-14.lab.06MIL0264.iso.1,0.0027819573879241943
66,site.06.subj.BVH_0018-14.lab.06MIL0263.iso.1,0.5765533447265625
67,site.06.subj.SGD_0061-14.lab.06MIL0262.iso.1,0.8967641592025757
68,site.06.subj.SZH_0030-14.lab.06MIL0258.iso.1,0.024812370538711548
69,site.06.subj.RLH_0289-14.lab.06MIL0257.iso.1,0.02514338493347168
70,site.06.subj.ATH_0079-14.lab.06MIL0248.iso.1,0.025098741054534912
71,site.06.subj.SGDH_0048-14.lab.06MIL0243.iso.1,0.015306681394577026
72,site.06.subj.JHL_0057-14.lab.06MIL0233.iso.1,0.025155246257781982
73,site.06.subj.BVH_0399-R.lab.06MIL0230.iso.1,0.8453119993209839
74,site.06.subj.ATH_0068-14.lab.06MIL0226.iso.1,0.010095000267028809
75,site.06.subj.SGD_0038-14.lab.06MIL0224.iso.1,0.015766888856887817
76,site.06.subj.ATH_0075-14.lab.06MIL0214.iso.1,0.01882880926132202
77,site.06.subj.MHL_0181-14.lab.06MIL0203.iso.1,0.013255894184112549
78,site.06.subj.ATH_0073-14.lab.06MIL0196.iso.1,0.022608160972595215
79,site.06.subj.RLH_0269-14.lab.06MIL0194.iso.1,0.03179115056991577
80,site.06.subj.SSM_0133-14.lab.06MIL0192.iso.1,0.01882880926132202
81,site.06.subj.SZH_0016-14.lab.06MIL0188.iso.1,0.025155246257781982
82,site.06.subj.SZH_0010-14.lab.06MIL0187.iso.1,0.03934967517852783
83,site.06.subj.PIMS_0019-14.lab.06MIL0181.iso.1,0.014248788356781006
84,site.06.subj.SSM_0130-14.lab.06MIL0180.iso.1,0.023939132690429688
85,site.06.subj.SSM_0127-14.lab.06MIL0177.iso.1,0.023875296115875244
86,site.06.subj.SSM_0128-14.lab.06MIL0176.iso.1,0.01882880926132202
87,site.06.subj.JHL_0054-14.lab.06MIL0172.iso.1,0.011639118194580078
