,Algorithm,Drug,AUC,AUC_PR,threshold,spec,sens
0,CNN,RIFAMPICIN,0.9712514471417241,0.9411799674653721,0.41000000000000003,0.9693251533742331,0.9167904903417533
1,CNN,ISONIAZID,0.9711431725172079,0.9566080798706775,0.55,[0.96542783],[0.92771084]
2,CNN,PYRAZINAMIDE,0.9076612262050794,0.7579657880904918,0.44,[0.88586957],[0.8338558]
3,CNN,ETHAMBUTOL,0.9288718443556416,0.7857268327746678,0.48,[0.86609907],[0.87885463]
4,CNN,STREPTOMYCIN,0.9209124287691672,0.890713248445254,0.54,[0.81087203],[0.90079365]
5,CNN,LEVOFLOXACIN,0.9036544850498338,0.8527121155111317,0.59,0.9767441860465116,0.8095238095238095
6,CNN,CAPREOMYCIN,0.8738437001594896,0.7094581854239858,0.48,0.9263157894736842,0.7062937062937062
7,CNN,AMIKACIN,0.8887551275191725,0.7747428903596693,0.48,[0.95692884],[0.73469388]
8,CNN,MOXIFLOXACIN,0.8754110339788089,0.7241243003482064,0.58,[0.91048593],[0.67532468]
9,CNN,OFLOXACIN,0.8844870565675934,0.8475319423448495,0.53,0.9731543624161074,0.7657142857142857
10,CNN,KANAMYCIN,0.9267981014968967,0.8495388657953203,0.59,0.9236947791164658,0.8701298701298701
11,CNN,ETHIONAMIDE,0.843557305963321,0.759755408942691,0.47000000000000003,[0.8245614],[0.70748299]
12,CNN,CIPROFLOXACIN,0.9947916666666666,0.9804093342973911,0.67,0.975,1.0
13,CNN,RIFAMPICIN,0.9727675059565246,0.9439263193088263,0.49,[0.97318008],[0.9084195]
14,CNN,ISONIAZID,0.9677897613302711,0.9522069828159941,0.55,[0.9738676],[0.91537545]
15,CNN,PYRAZINAMIDE,0.9300489208808191,0.7870709153362977,0.56,[0.88395286],[0.85234899]
16,CNN,ETHAMBUTOL,0.9319287190396326,0.811663654964603,0.46,[0.88529638],[0.87703016]
17,CNN,STREPTOMYCIN,0.9166867449905503,0.8666598043074021,0.39,[0.86011561],[0.83556405]
18,CNN,LEVOFLOXACIN,0.9266409266409267,0.7940940012368582,0.73,0.972972972972973,0.8571428571428571
19,CNN,CAPREOMYCIN,0.8887067793317792,0.770832854822957,0.52,[0.92307692],[0.74305556]
