,Algorithm,Drug,AUC,AUC_PR,threshold,spec,sens
0,CNN,RIFAMPICIN,0.9722781201287156,0.9414797358648475,0.62,0.9654907975460123,0.924219910846954
1,CNN,ISONIAZID,0.9712035696806238,0.9600593890610118,0.73,[0.96283492],[0.93253012]
2,CNN,PYRAZINAMIDE,0.9140160033619553,0.775306243662441,0.39,[0.89855072],[0.82131661]
3,CNN,ETHAMBUTOL,0.9324008469606252,0.7980196283940728,0.5700000000000001,[0.86532508],[0.88986784]
4,CNN,STREPTOMYCIN,0.9302443419799026,0.8896579467531959,0.59,[0.84371461],[0.88888889]
5,CNN,LEVOFLOXACIN,0.9169435215946844,0.8817960169414267,0.59,0.9767441860465116,0.9047619047619048
6,CNN,CAPREOMYCIN,0.8839528892160471,0.7175929232450878,0.56,[0.89649123],[0.76223776]
7,CNN,AMIKACIN,0.8970610716196591,0.7885683352026651,0.21,0.9831460674157303,0.7006802721088435
8,CNN,MOXIFLOXACIN,0.8841133291261168,0.7325350016232435,0.47000000000000003,[0.95140665],[0.66233766]
9,CNN,OFLOXACIN,0.8961201661872803,0.8505542220828255,0.3,0.9753914988814317,0.7657142857142857
10,CNN,KANAMYCIN,0.919065873885151,0.8664951756000567,0.55,[0.937751],[0.85714286]
11,CNN,ETHIONAMIDE,0.8633289573139198,0.782001693520364,0.5,[0.81871345],[0.72789116]
12,CNN,CIPROFLOXACIN,0.996875,0.9888997113997113,0.59,0.9875,1.0
13,CNN,RIFAMPICIN,0.9730878283162703,0.9411686223906567,0.7000000000000001,[0.9532567],[0.93057607]
14,CNN,ISONIAZID,0.9694426332991408,0.9556322105267716,0.59,[0.97560976],[0.91418355]
15,CNN,PYRAZINAMIDE,0.931183714944599,0.8039749790619868,0.41000000000000003,[0.87579329],[0.86577181]
16,CNN,ETHAMBUTOL,0.9291762894534258,0.7981889568026754,0.5,[0.87451886],[0.88863109]
17,CNN,STREPTOMYCIN,0.9172957260800849,0.8683107815174322,0.52,[0.8566474],[0.84894837]
18,CNN,LEVOFLOXACIN,0.9536679536679538,0.9097744360902253,0.07,1.0,0.8571428571428571
19,CNN,CAPREOMYCIN,0.8892895299145299,0.7688222382594879,0.4,[0.93881119],[0.71527778]
20,CNN,AMIKACIN,0.9189544711014176,0.8432089090282077,0.31,[0.97709924],[0.72142857]
21,CNN,MOXIFLOXACIN,0.8884955434157561,0.7577730681735195,0.14,0.973404255319149,0.6486486486486487
