,0
0,00R0025
1,00R0086
2,00R0178
3,00R0223
4,00R0312
5,00R0435
6,00R0453
7,00R1399
8,00R1549
9,00R1566
10,01R0153
11,01R0166
12,01R0238
13,01R0239
14,01R0244
15,01R0276
16,01R0451
17,01R0647
18,01R0685
19,01R0697
20,01R0774
21,01R0878
22,01R0880
23,01R0897
24,01R0899
25,01R0902
26,01R0903
27,01R0904
28,01R0908
29,01R0909
30,01R1018
31,01R1241
32,01R1305
33,01R1309
34,01R1321
35,01R1339
36,01R1341
37,01R1386
38,01R1387
39,01R1466
40,01R1468
41,01R1499
42,01R1505
43,01R1540
44,01R1559
45,01R1599
46,02R0016
47,02R0099
48,02R0119
49,02R0191
50,02R0236
51,02R0237
52,02R0241
53,02R0272
54,02R0286
55,02R0325
56,02R0328
57,02R0360
58,02R0407
59,02R0417
60,02R0754
61,02R0793
62,02R0812
63,02R0848
64,02R0861
65,02R0890
66,02R0911
67,02R0951
68,02R0971
69,02R1076
70,02R1101
71,02R1106
72,02R1114
73,02R1137
74,02R1140
75,02R1142
76,02R1191
77,02R1203
78,02R1210
79,02R1244
80,02R1262
81,02R1267
82,02R1275
83,02R1288
84,02R1444
85,02R1457
86,02R1479
87,02R1485
88,02R1527
89,02R1543
90,02R1544
91,02R1589
92,02R1641
93,02R1645
94,02R1681
95,02R1683
96,02R1685
97,02R1687
98,02R1709
99,02R1723
100,02R1726
101,02R1728
102,02R1742
103,02R1753
104,02R1789
105,02R1793
106,02R1825
107,02R1854
108,02R1871
109,02R1915
110,02R1940
111,02R1941
112,02R1942
113,02R1945
114,02R1952
115,03R0058
116,03R0068
117,03R0070
118,03R0110
119,03R0154
120,03R0177
121,03R0194
122,03R0268
123,03R0293
124,03R0319
125,03R0327
126,03R0411
127,03R0419
128,03R0655
129,03R0736
130,03R0749
131,03R0768
132,03R0780
133,03R0783
134,03R0795
135,03R0797
136,03R0821
137,03R0871
138,03R0878
139,03R0908
140,03R0920
141,03R0929
142,03R0951
143,03R0979
144,03R0986
145,03R1082
146,03R1084
147,03R1176
148,03R1337
149,03R1338
150,03R1373
151,03R1404
152,03R1451
153,03R1465
154,03R1504
155,04R0266
156,04R0273
157,04R0292
158,04R0438
159,1479144119992T178015lib4985nextseqn0035151bp
160,1479144119992T178115lib4986nextseqn0035151bp
161,1479144119992T178215lib4987nextseqn0035151bp
162,1479144119992T178315lib4988nextseqn0035151bp
163,1479144119992T178415lib4989nextseqn0036151bp
164,1479144119992T178515lib4990nextseqn0036151bp
165,1479144119992T178615lib4991nextseqn0036151bp
166,1479144119992T178715lib4992nextseqn0036151bp
167,1479144813357T180115lib5006nextseqn0035151bp
168,1479144813357T180215lib5007nextseqn0035151bp
169,1479144813357T180315lib5008nextseqn0036151bp
170,1479144813357T180415lib5009nextseqn0035151bp
171,1479144813357T180515lib5010nextseqn0035151bp
172,1479144813357T180615lib5011nextseqn0035151bp
173,1479144813357T180715lib5012nextseqn0035151bp
174,1479144813357T181615lib5021nextseqn0035151bp
175,1479144813357T181715lib5022nextseqn0035151bp
176,1479144813357T181815lib5023nextseqn0035151bp
177,1479144813357T181915lib5024nextseqn0036151bp
178,1479144813357T182015lib5025nextseqn0035151bp
179,1479146369267T182115lib5026nextseqn0035151bp
180,1479146369267T182215lib5027nextseqn0035151bp
181,1479146369267T182315lib5028nextseqn0035151bp
182,1479146369267T182415lib5029nextseqn0036151bp
183,1479146369267T182515lib5030nextseqn0036151bp
184,1479146369267T182615lib5031nextseqn0036151bp
185,1479146369267T182715lib5032nextseqn0036151bp
186,1479146369267T182815lib5033nextseqn0036151bp
187,1479146369267T182915lib5034nextseqn0036151bp
188,1479146369267T183015lib5035nextseqn0036151bp
189,1479146369267T183115lib5036nextseqn0036151bp
190,1479146369267T183215lib5037nextseqn0035151bp
191,1479146369267T183315lib5038nextseqn0035151bp
192,1479146369267T183415lib5039nextseqn0035151bp
193,1479146369267T183515lib5040nextseqn0036151bp
194,1479146369267T183615lib5041nextseqn0035151bp
195,1479146369267T183715lib5042nextseqn0035151bp
196,1479146369267T183815lib5043nextseqn0035151bp
197,1479146369267T183915lib5044nextseqn0036151bp
198,1479146369267T184015lib5045nextseqn0036151bp
199,1479146369267T184115lib5046nextseqn0035151bp
200,1479146369267T184215lib5047nextseqn0035151bp
201,1479146369267T184315lib5048nextseqn0036151bp
202,1479146369267T184415lib5049nextseqn0036151bp
203,1479146369267T184515lib5050nextseqn0036151bp
204,1479146369267T184615lib5051nextseqn0036151bp
205,1479146369267T184715lib5052nextseqn0035151bp
206,1479146369267T184815lib5053nextseqn0035151bp
207,1479146369267T184915lib5054nextseqn0035151bp
208,1479146369267T185015lib5055nextseqn0035151bp
209,1479146369267T185115lib5056nextseqn0035151bp
210,1479146369267T185215lib5057nextseqn0035151bp
211,1479146369267T185315lib5058nextseqn0035151bp
212,1479146369267T185415lib5059nextseqn0035151bp
213,1479146369267T185515lib5060nextseqn0035151bp
214,1479146369267T185615lib5061nextseqn0035151bp
215,1479146369267T185715lib5063nextseqn0036151bp
216,1479146369267T185815lib5062nextseqn0035151bp
217,1479146369267T888215lib5603nextseqn0048151bp
218,1479146369267T888315lib5604nextseqn0048151bp
219,1479146369267T888415lib5605nextseqn0048151bp
220,1479146369267T888515lib5606nextseqn0048151bp
221,1479146369267T888615lib5607nextseqn0048151bp
222,1479146369267T888715lib5608nextseqn0048151bp
223,1479146369267T888815lib5609nextseqn0048151bp
224,1479146369267T889015lib5611nextseqn0048151bp
225,1479146369267T889115lib5612nextseqn0048151bp
226,1479146369267T889315lib5614nextseqn0048151bp
227,1479149361993T889415lib5615nextseqn0048151bp
228,1479149361993T893015lib5699nextseqn0050151bp
229,1479149361993T893215lib5701nextseqn0050151bp
230,1479149361993T893315lib5702nextseqn0050151bp
231,1479149361993T893415lib5703nextseqn0050151bp
232,1479149361993T893515lib5704nextseqn0050151bp
233,1479149361993T893615lib5719nextseqn0051151bp
234,1479149361993T893715lib5720nextseqn0051151bp
235,1479149361993T893815lib5721nextseqn0051151bp
236,1479149361993T893915lib5722nextseqn0051151bp
237,1479149361993T894015lib5723nextseqn0051151bp
238,1479149361993T894115lib5724nextseqn0051151bp
239,1479149361993T894215lib5725nextseqn0051151bp
240,1479149361993T894315lib5726nextseqn0051151bp
241,1479149361993T894415lib5727nextseqn0051151bp
242,1479149361993T894515lib5728nextseqn0051151bp
243,1479149361993T894615lib5729nextseqn0051151bp
244,1479149361993T894715lib5730nextseqn0051151bp
245,1479149361993T894815lib5731nextseqn0051151bp
246,1479149361993T895015lib5732nextseqn0051151bp
247,1479149361993T895115lib5733nextseqn0051151bp
248,1479149361993T895215lib5734nextseqn0051151bp
249,1479149361993T895315lib5735nextseqn0051151bp
250,1479149361993T895415lib5736nextseqn0051151bp
251,1479150601544T895515lib5737nextseqn0051151bp
252,1479150601544T895615lib5738nextseqn0051151bp
253,1479150601544T895715lib5739nextseqn0051151bp
254,1479150601544T895915lib5741nextseqn0051151bp
255,1479150601544T896015lib5742nextseqn0051151bp
256,1479150601544T896215lib5744nextseqn0051151bp
257,1479150601544T896315lib5745nextseqn0051151bp
258,1479150601544T896415lib5746nextseqn0051151bp
259,1479150601544T896515lib5747nextseqn0051151bp
260,1479150601544T896615lib5748nextseqn0051151bp
261,1479150601544T896715lib5749nextseqn0051151bp
262,1479150601544T896815lib5750nextseqn0051151bp
