# packages in environment at /home/ag300/anaconda3/envs/dl_tf1:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       1_gnu    conda-forge
_tflow_select             2.3.0                       mkl  
absl-py                   0.12.0             pyhd8ed1ab_0    conda-forge
astor                     0.8.1              pyh9f0ad1d_0    conda-forge
billiard                  3.6.4.0                  pypi_0    pypi
binutils_impl_linux-64    2.35.1               h193b22a_2    conda-forge
binutils_linux-64         2.35                h67ddf6f_30    conda-forge
biopython                 1.79             py36h8f6f2f9_0    conda-forge
bleach                    1.5.0                    py36_0    conda-forge
bokeh                     2.3.2                    pypi_0    pypi
c-ares                    1.17.1               h7f98852_1    conda-forge
ca-certificates           2021.5.30            ha878542_0    conda-forge
cached-property           1.5.2                hd8ed1ab_1    conda-forge
cached_property           1.5.2              pyha770c72_1    conda-forge
certifi                   2021.5.30        py36h5fab9bb_0    conda-forge
chardet                   4.0.0                    pypi_0    pypi
click                     8.0.1                    pypi_0    pypi
cycler                    0.10.0                   pypi_0    pypi
dataclasses               0.8                pyh787bdff_0    conda-forge
deeplift                  0.6.13.0                 pypi_0    pypi
evcouplings               0.1.1                    pypi_0    pypi
filelock                  3.0.12                   pypi_0    pypi
gast                      0.2.2                      py_0    conda-forge
gcc_impl_linux-64         9.3.0               h70c0ae5_19    conda-forge
gcc_linux-64              9.3.0               hf25ea35_30    conda-forge
google-pasta              0.2.0              pyh8c360ce_0    conda-forge
grpcio                    1.38.0           py36h8e87921_0    conda-forge
gxx_impl_linux-64         9.3.0               hd87eabc_19    conda-forge
gxx_linux-64              9.3.0               h3fbe746_30    conda-forge
h5py                      2.10.0                   pypi_0    pypi
hdf5                      1.10.6          nompi_h6a2412b_1114    conda-forge
html5lib                  0.9999999                py36_0    conda-forge
idna                      2.10                     pypi_0    pypi
importlib-metadata        4.5.0            py36h5fab9bb_0    conda-forge
intel-openmp              2021.2.0           h06a4308_610  
jinja2                    3.0.1                    pypi_0    pypi
joblib                    1.0.1              pyhd8ed1ab_0    conda-forge
keras                     2.3.1                    pypi_0    pypi
keras-applications        1.0.8                      py_1    conda-forge
keras-preprocessing       1.1.2              pyhd8ed1ab_0    conda-forge
kernel-headers_linux-64   2.6.32              h77966d4_13    conda-forge
kiwisolver                1.3.1                    pypi_0    pypi
krb5                      1.19.1               hcc1bbae_0    conda-forge
ld_impl_linux-64          2.35.1               hea4e1c9_2    conda-forge
libblas                   3.9.0                9_openblas    conda-forge
libcblas                  3.9.0                9_openblas    conda-forge
libcurl                   7.77.0               h2574ce0_0    conda-forge
libedit                   3.1.20191231         he28a2e2_2    conda-forge
libev                     4.33                 h516909a_1    conda-forge
libffi                    3.3                  h58526e2_2    conda-forge
libgcc-devel_linux-64     9.3.0               h7864c58_19    conda-forge
libgcc-ng                 9.3.0               h2828fa1_19    conda-forge
